player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Lionel Messi,30981,Argentina,forward,63.09166666666667,9.0,72
Rodrigo De Paul,324578,Argentina,midfielder,35.698,11.0,47
Enzo Fernández,1137705,Argentina,midfielder,29.811999999999998,11.0,41
Lisandro Martínez,847983,Argentina,defender,28.98,10.0,39
Alexis Mac Allister,831489,Argentina,midfielder,24.949999999999996,11.0,36
Cristian Romero,789066,Argentina,defender,23.29666666666667,10.0,33
Facundo Medina,812652,Argentina,defender,17.990000000000002,10.0,28
Ramy Bensebaini,559065,Algeria,defender,32.57000000000001,-5.0,28
Gonzalo Montiel,687008,Argentina,defender,16.85,10.0,27
Nicolás González,841672,Argentina,midfielder,20.340666666666667,6.5,27
Aïssa Mandi,210683,Algeria,defender,30.1,-5.0,25
Rafik Belghali,1231029,Algeria,midfielder,25.562,-1.0,25
Rayan Aït-Nouri,933845,Algeria,defender,26.97,-5.0,22
Nabil Bentaleb,500520,Algeria,midfielder,22.701333333333334,-1.0,22
Nahuel Molina,726345,Argentina,defender,16.1,5.0,21
Farès Chaïbi,1345875,Algeria,midfielder,20.476,-1.0,19
Hicham Boudaoui,1033099,Algeria,midfielder,18.25733333333333,1.0,19
Thiago Almada,955271,Argentina,midfielder,12.203333333333333,7.0,19
Nicolás Otamendi,174321,Argentina,defender,13.303333333333335,5.0,18
Anis Hadj Moussa,1576876,Algeria,forward,15.749999999999998,0.0,16
Lautaro Martínez,690230,Argentina,forward,11.008333333333335,3.0,14
Ramiz Zerrouki,1074967,Algeria,midfielder,9.228666666666667,2.5,12
Julián Álvarez,974753,Argentina,forward,7.550000000000001,3.5,11
Ibrahim Maza,1457626,Algeria,midfielder,11.989999999999998,-1.0,11
Nico Paz,1347574,Argentina,midfielder,7.499333333333333,2.5,10
Amine Gouiri,844437,Algeria,forward,8.049999999999999,0.0,8
Mohamed Amoura,1134206,Algeria,forward,9.616666666666667,-2.5,7
Riyad Mahrez,278343,Algeria,forward,9.366666666666667,-2.5,7
Houssem Aouar,776299,Algeria,midfielder,4.750666666666667,0.5,5
Adil Boulbina,1298669,Algeria,forward,3.2333333333333325,-2.5,1
Nicolás Tagliafico,195750,Argentina,defender,0.0,0.0,0
Marcos Senesi,785411,Argentina,defender,0.0,0.0,0
Samir Chergui,1039219,Algeria,defender,0.0,0.0,0
Zineddine Belaïd,1118823,Algeria,defender,0.0,0.0,0
Mohamed Tougai,1131925,Algeria,defender,0.0,0.0,0
Jaouen Hadjam,1178324,Algeria,defender,0.0,0.0,0
Achref Abada,1362385,Algeria,defender,0.0,0.0,0
Leandro Paredes,237606,Argentina,midfielder,0.0,0.0,0
Giovani Lo Celso,604126,Argentina,midfielder,0.0,0.0,0
Exequiel Palacios,693599,Argentina,midfielder,0.0,0.0,0
Giuliano Simeone,1226147,Argentina,midfielder,0.0,0.0,0
Valentín Barco,1272440,Argentina,midfielder,0.0,0.0,0
Yacine Titraoui,1288907,Algeria,midfielder,0.0,0.0,0
Nadir Benbouali,1210929,Algeria,forward,0.0,0.0,0
José López,1216079,Argentina,forward,0.0,0.0,0
Farès Ghedjemis,1523327,Algeria,forward,0.0,0.0,0
Algeria Keepers,6317,Algeria,goalkeeper,19.12,0.0,0
Argentina Keepers,6706,Argentina,goalkeeper,9.36,18.0,0
