player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Xaver Schlager,620027,Nottingham Forest,midfielder,41.972,7.0,0.0,49
Morgan Gibbs-White,789502,Nottingham Forest,midfielder,41.734,7.0,0.0,49
Murillo,1458711,Nottingham Forest,defender,42.125,5.0,0.0,47
Daniel Muñoz,859282,Nottingham Forest,midfielder,39.678,7.0,0.0,47
Aaron Wan-Bissaka,760320,Aston Villa,defender,42.245000000000005,0.0,0.0,42
Ousmane Diomande,1425182,Nottingham Forest,defender,29.300000000000004,5.0,0.0,34
Liam Delap,1113903,Nottingham Forest,forward,28.21666666666667,6.0,0.0,34
James McAtee,1107648,Nottingham Forest,midfielder,27.43333333333333,5.0,0.0,32
Ola Aina,682548,Nottingham Forest,defender,27.08,5.0,0.0,32
John McGinn,356406,Aston Villa,midfielder,27.808,3.0,0.0,31
Neco Williams,1078788,Nottingham Forest,midfielder,21.064,7.0,0.0,28
Alysson Edward,1656860,Aston Villa,forward,22.73,3.0,0.0,26
Igor Jesus,1082102,Nottingham Forest,forward,22.520000000000003,3.0,0.0,26
Tyrone Mings,419664,Aston Villa,defender,23.51666666666667,0.0,0.0,24
Boubacar Kamara,816325,Aston Villa,midfielder,19.328,3.0,0.0,22
Ibrahim Mbaye,1593857,Aston Villa,forward,15.77,3.0,0.0,19
Ross Barkley,215384,Aston Villa,midfielder,14.39,3.0,0.0,17
Ian Maatsen,966026,Aston Villa,defender,16.811666666666667,0.0,0.0,17
Victor Nilsson Lindelöf,258269,Aston Villa,defender,16.79,0.0,0.0,17
Ibrahim Sangaré,795371,Nottingham Forest,midfielder,8.368666666666668,4.5,0.0,13
Dan Ndoye,1022649,Nottingham Forest,midfielder,7.564,5.0,0.0,13
George Hemmings,1607333,Aston Villa,midfielder,7.534,5.0,0.0,13
Pau Torres,792645,Aston Villa,defender,7.228333333333333,5.0,0.0,12
Tammy Abraham,749661,Aston Villa,forward,8.6,3.0,0.0,12
Emiliano Buendía,610184,Aston Villa,midfielder,5.279999999999999,3.0,0.0,8
Johan Manzambi,1520063,Aston Villa,midfielder,5.776,2.5,0.0,8
Nicolas Jackson,1197347,Aston Villa,forward,7.399999999999999,0.0,0.0,7
Matteo Ruggeri,1051097,Aston Villa,defender,0.0,0.0,0.0,0
Ryan Yates,775614,Nottingham Forest,midfielder,0.0,0.0,0.0,0
Nicolás Dominguez,827315,Nottingham Forest,midfielder,0.0,0.0,0.0,0
Luca Netz,1155130,Nottingham Forest,midfielder,0.0,0.0,0.0,0
Lamare Bogarde,1190033,Aston Villa,midfielder,0.0,0.0,0.0,0
Chris Wood,169719,Nottingham Forest,forward,0.0,0.0,0.0,0
Callum Hudson-Odoi,846383,Nottingham Forest,forward,0.0,0.0,0.0,0
Arnaud Kalimuendo-Muinga,1095445,Nottingham Forest,forward,0.0,0.0,0.0,0
Alejandro Garnacho,1203665,Aston Villa,forward,0.0,0.0,0.0,0
Nottingham Forest Keepers,10203,Nottingham Forest,goalkeeper,25.4,12.0,0.0,37
Aston Villa Keepers,10252,Aston Villa,goalkeeper,27.42,6.0,0.0,33
