player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Noussair Mazraoui,775539,Morocco,defender,54.50000000000001,5.0,0.0,60
Neil El Aynaoui,1274060,Morocco,midfielder,48.89999999999999,5.0,-4.0,50
Issa Diop,696443,Morocco,defender,47.81,5.0,0.0,53
Achraf Hakimi,770881,Morocco,defender,44.470000000000006,5.0,-4.0,45
Jan Paul van Hecke,974618,Netherlands,defender,35.650000000000006,5.0,0.0,41
Azzedine Ounahi,1073143,Morocco,midfielder,30.182666666666663,3.0,0.0,33
Crysencio Summerville,941213,Netherlands,midfielder,27.936,5.0,-4.0,29
Frenkie de Jong,638622,Netherlands,midfielder,25.36466666666667,5.0,0.0,30
Virgil van Dijk,209405,Netherlands,defender,25.1,5.0,0.0,30
Micky van de Ven,1097466,Netherlands,defender,18.956666666666663,10.0,0.0,29
Anass Salah-Eddine,1050838,Morocco,defender,18.76,10.0,0.0,29
Ayyoub Bouaddi,1561552,Morocco,midfielder,23.28933333333333,3.0,0.0,26
Nathan Aké,417068,Netherlands,defender,15.606666666666667,10.0,0.0,26
Teun Koopmeiners,866516,Netherlands,midfielder,19.595333333333336,5.0,4.0,29
Chemsdine Talbi,1368654,Morocco,forward,21.633333333333333,0.5,4.0,26
Gessime Yassine,1603755,Morocco,forward,21.28333333333333,0.5,0.0,22
Chadi Riad,1187506,Morocco,defender,16.36,5.0,0.0,21
Cody Gakpo,806552,Netherlands,midfielder,15.162666666666668,5.0,0.0,20
Brahim Díaz,750027,Morocco,forward,18.541666666666668,0.0,0.0,19
Ismael Saibari,1180288,Morocco,midfielder,13.169999999999998,5.0,4.0,22
Samir El Mourabet,1598170,Morocco,midfielder,12.852666666666666,4.5,0.0,17
Ryan Gravenberch,956683,Netherlands,midfielder,8.828666666666667,7.0,0.0,16
Wout Weghorst,351999,Netherlands,forward,12.666666666666666,3.0,4.0,20
Bilal El Khannouss,1340895,Morocco,midfielder,11.252,3.0,0.0,14
Soufiane Rahimi,988749,Morocco,forward,13.25,0.5,4.0,18
Jorrel Hato,1413846,Netherlands,defender,13.593333333333335,0.0,0.0,14
Denzel Dumfries,593118,Netherlands,midfielder,8.502,5.0,0.0,14
Brian Brobbey,940446,Netherlands,forward,11.075,0.0,0.0,11
Quinten Timber,970563,Netherlands,midfielder,8.837333333333333,0.5,-4.0,5
Justin Kluivert,794253,Netherlands,midfielder,4.3773333333333335,2.5,-4.0,3
Marten de Roon,198559,Netherlands,midfielder,3.4873333333333334,2.5,0.0,6
Marwane Saadane,614912,Morocco,defender,0.0,0.0,0.0,0
Lutsharel Geertruida,881640,Netherlands,defender,0.0,0.0,0.0,0
Youssef Belammari,909908,Morocco,defender,0.0,0.0,0.0,0
Mats Wieffer,970243,Netherlands,defender,0.0,0.0,0.0,0
Zakaria El Ouahdi,1287871,Morocco,defender,0.0,0.0,0.0,0
Redouane Halhal,1298186,Morocco,defender,0.0,0.0,0.0,0
Sofyan Amrabat,593116,Morocco,midfielder,0.0,0.0,0.0,0
Tijjani Reijnders,868344,Netherlands,midfielder,0.0,0.0,0.0,0
Memphis Depay,303824,Netherlands,forward,0.0,0.0,0.0,0
Donyell Malen,660301,Netherlands,forward,0.0,0.0,0.0,0
Guus Til,774947,Netherlands,forward,0.0,0.0,0.0,0
Noa Lang,837341,Netherlands,forward,0.0,0.0,0.0,0
Ayoub El Kaabi,884382,Morocco,forward,0.0,0.0,0.0,0
Amine Sbaï,1242587,Morocco,forward,0.0,0.0,0.0,0
Ayoube Amaimouni-Echghouyab,1680173,Morocco,forward,0.0,0.0,0.0,0
Netherlands Keepers,6708,Netherlands,goalkeeper,22.74,12.0,0.0,35
Morocco Keepers,6262,Morocco,goalkeeper,11.66,12.0,6.0,30
