player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Ramy Bensebaini,559065,Algeria,defender,52.290000000000006,5.0,0.0,57
Mohannad Abu Taha,1247001,Jordan,midfielder,42.07933333333333,3.0,0.0,45
Riyad Mahrez,278343,Algeria,midfielder,35.44333333333333,5.0,0.0,40
Ibrahim Maza,1457626,Algeria,midfielder,31.742,7.0,0.0,39
Rayan Aït-Nouri,933845,Algeria,defender,32.513333333333335,5.0,0.0,38
Aïssa Mandi,210683,Algeria,defender,31.67,5.0,0.0,37
Amine Gouiri,844437,Algeria,forward,30.433333333333334,6.0,0.0,36
Nadir Benbouali,1210929,Algeria,forward,32.925,3.5,0.0,36
Farès Chaïbi,1345875,Algeria,midfielder,25.443999999999996,7.0,0.0,32
Abdallah Nasib,1312681,Jordan,defender,32.220000000000006,0.0,0.0,32
Husam Abu Dahab,1554109,Jordan,defender,31.56666666666667,0.0,0.0,32
Nizar Al Rashdan,1195369,Jordan,midfielder,27.136,3.0,0.0,30
Rafik Belghali,1231029,Algeria,midfielder,19.872,7.0,0.0,27
Noor Al-Rawabdeh,1036253,Jordan,midfielder,23.46,3.0,0.0,26
Hicham Boudaoui,1033099,Algeria,midfielder,22.534,3.0,0.0,26
Ehsan Haddad,546201,Jordan,midfielder,20.968000000000004,3.0,0.0,24
Ali Iyad Olwan,1028896,Jordan,midfielder,19.082666666666668,3.0,0.0,22
Zineddine Belaïd,1118823,Algeria,defender,16.273333333333333,5.0,0.0,21
Yazan Abu Al-Arab,852168,Jordan,defender,20.18,0.0,0.0,20
Mousa Tamari,813055,Jordan,midfielder,17.02,3.0,0.0,20
Ramiz Zerrouki,1074967,Algeria,midfielder,15.314,3.0,0.0,18
Nabil Bentaleb,500520,Algeria,midfielder,11.146,6.5,0.0,18
Anis Hadj Moussa,1576876,Algeria,forward,16.358333333333334,0.5,0.0,17
Mahmoud Al Mardi,674520,Jordan,midfielder,10.211333333333332,5.0,0.0,15
Mohammad Abu Hasheesh,1350517,Jordan,midfielder,12.374666666666666,2.5,0.0,15
Jaouen Hadjam,1178324,Algeria,defender,7.786666666666667,5.0,0.0,13
Ali Al-Azaizeh,1642793,Jordan,forward,6.816666666666666,-2.5,0.0,4
Odeh Fakhouri,1823348,Jordan,midfielder,2.9146666666666667,0.5,0.0,3
Saleem Obaid,847766,Jordan,defender,0.0,0.0,0.0,0
Mo Abualnadi,1033300,Jordan,defender,0.0,0.0,0.0,0
Samir Chergui,1039219,Algeria,defender,0.0,0.0,0.0,0
Mohamed Tougai,1131925,Algeria,defender,0.0,0.0,0.0,0
Saed Al-Rosan,1179369,Jordan,defender,0.0,0.0,0.0,0
Achref Abada,1362385,Algeria,defender,0.0,0.0,0.0,0
Mohammad Abu Ghoush,1902793,Jordan,defender,0.0,0.0,0.0,0
Anas Badawi,1991034,Jordan,defender,0.0,0.0,0.0,0
Rajaei Ayed,546203,Jordan,midfielder,0.0,0.0,0.0,0
Mohammad Al-Daoud,600844,Jordan,midfielder,0.0,0.0,0.0,0
Houssem Aouar,776299,Algeria,midfielder,0.0,0.0,0.0,0
Ibrahim Saadeh,1202924,Jordan,midfielder,0.0,0.0,0.0,0
Amer Jamous,1213678,Jordan,midfielder,0.0,0.0,0.0,0
Yacine Titraoui,1288907,Algeria,midfielder,0.0,0.0,0.0,0
Mohammad Abuzraiq,1059129,Jordan,forward,0.0,0.0,0.0,0
Adil Boulbina,1298669,Algeria,forward,0.0,0.0,0.0,0
Farès Ghedjemis,1523327,Algeria,forward,0.0,0.0,0.0,0
Jordan Keepers,5816,Jordan,goalkeeper,33.300000000000004,6.0,0.0,39
Algeria Keepers,6317,Algeria,goalkeeper,17.740000000000002,12.0,0.0,30
