player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Lionel Messi,30981,Argentina,forward,76.97500000000001,9.0,0.0,86
Alexis Mac Allister,831489,Argentina,midfielder,52.32,9.0,0.0,61
Lisandro Martínez,847983,Argentina,defender,45.21,5.0,0.0,50
Julián Álvarez,974753,Argentina,forward,40.49166666666666,9.0,0.0,49
Leandro Paredes,237606,Argentina,midfielder,37.94466666666667,5.0,0.0,43
Ricardo Rodríguez,115591,Switzerland,defender,35.41666666666667,5.0,0.0,40
Nico Elvedi,517346,Switzerland,defender,43.25000000000001,-5.0,0.0,38
Cristian Romero,789066,Argentina,defender,29.07,5.0,0.0,34
Lautaro Martínez,690230,Argentina,forward,26.241666666666667,3.5,0.0,30
Granit Xhaka,207236,Switzerland,midfielder,28.604,1.0,0.0,30
Nicolás Otamendi,174321,Argentina,defender,24.340000000000003,5.0,0.0,29
Nicolás González,841672,Argentina,midfielder,21.652,6.5,0.0,28
Thiago Almada,955271,Argentina,midfielder,21.458,6.5,0.0,28
Remo Freuler,201704,Switzerland,midfielder,24.89733333333333,3.0,0.0,28
Dan Ndoye,1022649,Switzerland,midfielder,21.998666666666665,5.0,0.0,27
Denis Zakaria,598355,Switzerland,defender,21.83,5.0,0.0,27
Enzo Fernández,1137705,Argentina,midfielder,19.274,5.0,0.0,24
José López,1216079,Argentina,forward,19.691666666666663,3.5,0.0,23
Nahuel Molina,726345,Argentina,defender,16.62333333333333,5.0,0.0,22
Rodrigo De Paul,324578,Argentina,midfielder,14.557333333333334,5.0,0.0,20
Nicolás Tagliafico,195750,Argentina,defender,14.1,5.0,0.0,19
Djibril Sow,707970,Switzerland,midfielder,13.676666666666668,5.0,0.0,19
Breel Embolo,527103,Switzerland,forward,10.825,3.0,0.0,14
Manuel Akanji,521318,Switzerland,defender,16.840000000000003,-5.0,0.0,12
Silvan Widmer,275034,Switzerland,midfielder,12.919333333333332,-1.5,0.0,11
Gonzalo Montiel,687008,Argentina,defender,6.326666666666667,5.0,0.0,11
Fabian Rieder,1161211,Switzerland,midfielder,5.210666666666667,5.0,0.0,10
Zeki Amdouni,1067168,Switzerland,forward,9.716666666666663,-2.5,0.0,7
Eray Cömert,705484,Switzerland,defender,10.583333333333334,-5.0,0.0,6
Ardon Jashari,1163219,Switzerland,midfielder,6.156,-1.5,0.0,5
Miro Muheim,759817,Switzerland,midfielder,5.277333333333333,-1.5,0.0,4
Rubén Vargas,860752,Switzerland,forward,4.875,-2.5,0.0,2
Marcos Senesi,785411,Argentina,defender,0.0,0.0,0.0,0
Facundo Medina,812652,Argentina,defender,0.0,0.0,0.0,0
Aurèle Amenda,1257648,Switzerland,defender,0.0,0.0,0.0,0
Luca Jaquez,1270002,Switzerland,defender,0.0,0.0,0.0,0
Giovani Lo Celso,604126,Argentina,midfielder,0.0,0.0,0.0,0
Exequiel Palacios,693599,Argentina,midfielder,0.0,0.0,0.0,0
Michel Aebischer,792756,Switzerland,midfielder,0.0,0.0,0.0,0
Giuliano Simeone,1226147,Argentina,midfielder,0.0,0.0,0.0,0
Valentín Barco,1272440,Argentina,midfielder,0.0,0.0,0.0,0
Nico Paz,1347574,Argentina,midfielder,0.0,0.0,0.0,0
Christian Fassnacht,618774,Switzerland,forward,0.0,0.0,0.0,0
Cedric Itten,726956,Switzerland,forward,0.0,0.0,0.0,0
Noah Okafor,915797,Switzerland,forward,0.0,0.0,0.0,0
Argentina Keepers,6706,Argentina,goalkeeper,29.32,12.0,0.0,41
Switzerland Keepers,6717,Switzerland,goalkeeper,22.04,0.0,0.0,22
